Parameters:
Efficiency Link 1: efficiency link: 0.003630780547701014, efficiency detector/source: 0.36
Efficiency Link 2: efficiency link: 0.004570881896148752, efficiency detector/source: 0.06
T_CUT = None, max_iter = 10000, mode=sim
Task 0: T_P = 1e-06, T_2 = 0.01, Fidelity = 0.5015563617594178, Key rate per time = -0.0026763972339067725
Task 1: T_P = 1e-06, T_2 = 0.021544346900318832, Fidelity = 0.5045953486183941, Key rate per time = -0.0027104986220807237
Task 13: T_P = 4.641588833612782e-07, T_2 = 0.1, Fidelity = 0.5223372658413896, Key rate per time = -0.0022669577687316343
Task 41: T_P = 4.641588833612782e-08, T_2 = 0.021544346900318832, Fidelity = 0.5044870334615286, Key rate per time = -0.002724974663870349
Task 36: T_P = 1e-07, T_2 = 1.0, Fidelity = 0.6464379704112354, Key rate per time = 0.015785458405740128
Task 16: T_P = 4.641588833612782e-07, T_2 = 1.0, Fidelity = 0.6427802065925569, Key rate per time = 0.014382211565318733
Task 19: T_P = 4.641588833612782e-07, T_2 = 10.0, Fidelity = 0.889487390225644, Key rate per time = 0.14211811600508514
Task 30: T_P = 1e-07, T_2 = 0.01, Fidelity = 0.5018017139888146, Key rate per time = -0.0026630368990666984
Task 5: T_P = 1e-06, T_2 = 0.46415888336127775, Fidelity = 0.5830860587684228, Key rate per time = 0.0031842573393285447
Task 97: T_P = 1e-09, T_2 = 2.154434690031882, Fidelity = 0.7245454161908026, Key rate per time = 0.04075770465866898
Task 28: T_P = 2.1544346900318822e-07, T_2 = 4.6415888336127775, Fidelity = 0.815103556423877, Key rate per time = 0.08754218724209151
Task 22: T_P = 2.1544346900318822e-07, T_2 = 0.046415888336127774, Fidelity = 0.5106905473637932, Key rate per time = -0.0026007942706638308
Task 89: T_P = 2.1544346900318866e-09, T_2 = 10.0, Fidelity = 0.8889503109151036, Key rate per time = 0.14036927986448494
Task 92: T_P = 1e-09, T_2 = 0.046415888336127774, Fidelity = 0.5108834531294324, Key rate per time = -0.002583204920402732
Task 94: T_P = 1e-09, T_2 = 0.21544346900318834, Fidelity = 0.543975805855205, Key rate per time = -0.0010484262902936575
Task 4: T_P = 1e-06, T_2 = 0.21544346900318834, Fidelity = 0.5429826789993163, Key rate per time = -0.001135747013046081
Task 11: T_P = 4.641588833612782e-07, T_2 = 0.021544346900318832, Fidelity = 0.5044651024969414, Key rate per time = -0.0026819445479440603
Task 38: T_P = 1e-07, T_2 = 4.6415888336127775, Fidelity = 0.8133982049555238, Key rate per time = 0.08534127315164829
Task 33: T_P = 1e-07, T_2 = 0.1, Fidelity = 0.5221576626500604, Key rate per time = -0.0022617608665470306
Task 14: T_P = 4.641588833612782e-07, T_2 = 0.21544346900318834, Fidelity = 0.5454269247007985, Key rate per time = -0.0009354850622925685
Task 96: T_P = 1e-09, T_2 = 1.0, Fidelity = 0.6471645778320141, Key rate per time = 0.016072921729760478
Task 26: T_P = 2.1544346900318822e-07, T_2 = 1.0, Fidelity = 0.6467327875954139, Key rate per time = 0.015772642819417034
Task 29: T_P = 2.1544346900318822e-07, T_2 = 10.0, Fidelity = 0.8879211235475334, Key rate per time = 0.13850117508332366
Task 20: T_P = 2.1544346900318822e-07, T_2 = 0.01, Fidelity = 0.501238019743714, Key rate per time = -0.002717913563840713
Task 23: T_P = 2.1544346900318822e-07, T_2 = 0.1, Fidelity = 0.5221701137652606, Key rate per time = -0.0023027787433969383
Task 88: T_P = 2.1544346900318866e-09, T_2 = 4.6415888336127775, Fidelity = 0.8127251085921519, Key rate per time = 0.08422190762565027
Task 91: T_P = 1e-09, T_2 = 0.021544346900318832, Fidelity = 0.5036201764560867, Key rate per time = -0.002717235582492804
Task 95: T_P = 1e-09, T_2 = 0.46415888336127775, Fidelity = 0.5830528206657426, Key rate per time = 0.003170075996313875
Task 6: T_P = 1e-06, T_2 = 1.0, Fidelity = 0.6459909776189383, Key rate per time = 0.015600791138546857
Task 40: T_P = 4.641588833612782e-08, T_2 = 0.01, Fidelity = 0.5017322285325765, Key rate per time = -0.0027045372159293225
Task 98: T_P = 1e-09, T_2 = 4.6415888336127775, Fidelity = 0.8163016571634357, Key rate per time = 0.08911767752321545
Task 32: T_P = 1e-07, T_2 = 0.046415888336127774, Fidelity = 0.5103807188055149, Key rate per time = -0.0026672739449183623
Task 9: T_P = 1e-06, T_2 = 10.0, Fidelity = 0.8907968731229444, Key rate per time = 0.1444074431839333
Task 10: T_P = 4.641588833612782e-07, T_2 = 0.01, Fidelity = 0.5013189952238832, Key rate per time = -0.0027265308798425725
Task 18: T_P = 4.641588833612782e-07, T_2 = 4.6415888336127775, Fidelity = 0.8172175277970484, Key rate per time = 0.08975405595727
Task 31: T_P = 1e-07, T_2 = 0.021544346900318832, Fidelity = 0.5041429481809232, Key rate per time = -0.0026587366544700494
Task 21: T_P = 2.1544346900318822e-07, T_2 = 0.021544346900318832, Fidelity = 0.5047284737136633, Key rate per time = -0.002665742607768418
Task 24: T_P = 2.1544346900318822e-07, T_2 = 0.21544346900318834, Fidelity = 0.5441358622470778, Key rate per time = -0.0010350350687985857
Task 90: T_P = 1e-09, T_2 = 0.01, Fidelity = 0.501633619457666, Key rate per time = -0.0026971581420185574
Task 42: T_P = 4.641588833612782e-08, T_2 = 0.046415888336127774, Fidelity = 0.5115442563155157, Key rate per time = -0.002567035269654076
Task 93: T_P = 1e-09, T_2 = 0.1, Fidelity = 0.5206944489131864, Key rate per time = -0.00234039563340519
Task 2: T_P = 1e-06, T_2 = 0.046415888336127774, Fidelity = 0.5104447084288878, Key rate per time = -0.0026293706856049077
Task 99: T_P = 1e-09, T_2 = 10.0, Fidelity = 0.8907849921315542, Key rate per time = 0.14446415095615137
Task 35: T_P = 1e-07, T_2 = 0.46415888336127775, Fidelity = 0.5840916344923697, Key rate per time = 0.0033250146645847183
Task 12: T_P = 4.641588833612782e-07, T_2 = 0.046415888336127774, Fidelity = 0.5095992345261581, Key rate per time = -0.002560763149107974
Task 37: T_P = 1e-07, T_2 = 2.154434690031882, Fidelity = 0.7273143321325969, Key rate per time = 0.042696130512546906
Task 47: T_P = 4.641588833612782e-08, T_2 = 2.154434690031882, Fidelity = 0.7287525196911993, Key rate per time = 0.043146092012045
Task 15: T_P = 4.641588833612782e-07, T_2 = 0.46415888336127775, Fidelity = 0.5845003743413621, Key rate per time = 0.0034081336309884605
Task 25: T_P = 2.1544346900318822e-07, T_2 = 0.46415888336127775, Fidelity = 0.5823164207582386, Key rate per time = 0.0030242135787697765
Task 3: T_P = 1e-06, T_2 = 0.1, Fidelity = 0.5217992846207368, Key rate per time = -0.002270377948183441
Task 61: T_P = 1e-08, T_2 = 0.021544346900318832, Fidelity = 0.5043759832027813, Key rate per time = -0.0027040671629870935
Task 34: T_P = 1e-07, T_2 = 0.21544346900318834, Fidelity = 0.545757469505968, Key rate per time = -0.0009108069478811519
Task 8: T_P = 1e-06, T_2 = 4.6415888336127775, Fidelity = 0.8148069411544798, Key rate per time = 0.0869851636927096
Task 39: T_P = 1e-07, T_2 = 10.0, Fidelity = 0.8905245718692205, Key rate per time = 0.14388230115590311
